JnlTitle,Publisher,PubCountry,Fee,WaiverPolicy,Identifiers,FirstYear,Language,ReviewProcess,Plagiarism,Sub2Pub,JnlLicense,AuthorCopyright,DOAJ_Seal
International Journal of Pediatric Endocrinology ,BioMed Central,United Kingdom,Yes,Yes,DOI,2009,English,Blind peer review,Yes,7,CC BY,TRUE,Yes
"Allergy, Asthma & Clinical Immunology",BioMed Central,United Kingdom,Yes,Yes,DOI,2005,English,Blind peer review,Yes,12,CC BY,TRUE,Yes
Canadian Journal of Infectious Diseases and Medical Microbiology ,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2004,English,Blind peer review,Yes,33,CC BY,TRUE,Yes
Evidence Based Library and Information Practice,University of Alberta,Canada,No,NA,DOI,2006,English,Double blind peer review,NA,12,CC BY-NC-SA,TRUE,Yes
Italian Journal of Pediatrics,BioMed Central,United Kingdom,Yes,Yes,DOI,2008,English,Blind peer review,Yes,10,CC BY,TRUE,Yes
Progress in Orthodontics,Springer,United Kingdom,No,NA,DOI,2013,English,Double blind peer review,Yes,13,CC BY,TRUE,Yes
Biogeosciences,Copernicus Publications,Germany,Yes,Yes,DOI,2004,English,Peer review,Yes,15,CC BY,TRUE,Yes
Potchefstroom Electronic Law Journal,North-West  University,South Africa,Yes,NA,DOI,1998,"Afrikaans, Dutch; Flemish, English, German",Double blind peer review,NA,10,CC BY,TRUE,Yes
Journal of Industrial Engineering International,Springer,"Iran, Islamic Republic of",No,Yes,DOI,2012,English,Peer review,Yes,13,CC BY,TRUE,Yes
Journal of Circadian Rhythms,Ubiquity Press,United Kingdom,Yes,Yes,DOI,2004,English,Blind peer review,Yes,12,CC BY,TRUE,Yes
Cancer Imaging ,BioMed Central,United Kingdom,Yes,NA,DOI,2014,English,Peer review,Yes,9,CC BY,TRUE,Yes
Evidence-Based Complementary and Alternative Medicine,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2004,English,Blind peer review,Yes,16,CC BY,TRUE,Yes
BMC Biology,BioMed Central,United Kingdom,Yes,Yes,DOI,2003,English,Peer review,Yes,9,CC BY,TRUE,Yes
BMC Medicine,BioMed Central,United Kingdom,Yes,Yes,DOI,2003,English,Open peer review,Yes,10,CC BY,TRUE,Yes
Journal of Neuroinflammation,BioMed Central,United Kingdom,Yes,Yes,DOI,2004,English,Blind peer review,Yes,12,CC BY,TRUE,Yes
Theoretical Biology and Medical Modelling,BioMed Central,United Kingdom,Yes,Yes,DOI,2004,English,Blind peer review,Yes,13,CC BY,TRUE,Yes
Retrovirology,BioMed Central,United Kingdom,Yes,Yes,DOI,2004,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Reproductive Health,BioMed Central,United Kingdom,Yes,Yes,DOI,2004,English,Open peer review,Yes,17,CC BY,TRUE,Yes
Immunity & Ageing,BioMed Central,United Kingdom,Yes,Yes,DOI,2004,English,Blind peer review,Yes,12,CC BY,TRUE,Yes
AIDS Research and Therapy,BioMed Central,United Kingdom,Yes,Yes,DOI,2004,English,Peer review,Yes,16,CC BY,TRUE,Yes
Emerging Themes in Epidemiology,BioMed Central,United Kingdom,Yes,Yes,DOI,2004,English,Blind peer review,Yes,28,CC BY,TRUE,Yes
Frontiers in Zoology,BioMed Central,United Kingdom,Yes,Yes,DOI,2004,English,Blind peer review,Yes,15,CC BY,TRUE,Yes
Journal of NeuroEngineering and Rehabilitation,BioMed Central,United Kingdom,Yes,Yes,DOI,2004,English,Blind peer review,Yes,32,CC BY,TRUE,Yes
Virology Journal,BioMed Central,United Kingdom,Yes,Yes,DOI,2004,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Nutrition & Metabolism,BioMed Central,United Kingdom,Yes,Yes,DOI,2004,English,Blind peer review,Yes,13,CC BY,TRUE,Yes
Cerebrospinal Fluid Research,BioMed Central,United Kingdom,Yes,Yes,DOI,2004,English,Blind peer review,Yes,14,CC BY,TRUE,Yes
Particle and Fibre Toxicology,BioMed Central,United Kingdom,Yes,Yes,DOI,2004,English,Blind peer review,Yes,18,CC BY,TRUE,Yes
Annals of General Psychiatry,BioMed Central,United Kingdom,Yes,Yes,DOI,2005,English,Blind peer review,Yes,17,CC BY,TRUE,Yes
Globalization and Health,BioMed Central,United Kingdom,Yes,Yes,DOI,2005,English,Blind peer review,Yes,21,CC BY,TRUE,Yes
Behavioral and Brain Functions,BioMed Central,United Kingdom,Yes,Yes,DOI,2005,English,Blind peer review,Yes,18,CC BY,TRUE,Yes
Scandinavian Journal of Disability Research,Stockholm University Press,Sweden,Yes,Yes,DOI,1999,English,Double blind peer review,Yes,16,CC BY,TRUE,Yes
Biology Direct,BioMed Central,United Kingdom,Yes,Yes,DOI,2006,English,Open peer review,Yes,9,CC BY,TRUE,Yes
Trials,BioMed Central,United Kingdom,Yes,Yes,DOI,2006,English,Open peer review,Yes,15,CC BY,TRUE,Yes
Journal of Occupational Medicine and Toxicology,BioMed Central,United Kingdom,Yes,Yes,DOI,2006,English,Blind peer review,Yes,19,CC BY,TRUE,Yes
Diagnostic Pathology,BioMed Central,United Kingdom,Yes,Yes,DOI,2006,English,Blind peer review,Yes,8,CC BY,TRUE,Yes
Head & Face Medicine,BioMed Central,United Kingdom,Yes,Yes,DOI,2005,English,Open peer review,Yes,20,CC BY,TRUE,Yes
Journal of Ethnobiology and Ethnomedicine,BioMed Central,United Kingdom,Yes,Yes,DOI,2005,English,Blind peer review,Yes,19,CC BY,TRUE,Yes
International Breastfeeding Journal,BioMed Central,United Kingdom,Yes,Yes,DOI,2006,English,Blind peer review,Yes,32,CC BY,TRUE,Yes
Plant Methods,BioMed Central,United Kingdom,Yes,Yes,DOI,2005,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
BMC Veterinary Research,BioMed Central,United Kingdom,Yes,Yes,DOI,2005,English,Blind peer review,Yes,22,CC BY,TRUE,Yes
Cell Division,BioMed Central,United Kingdom,Yes,Yes,DOI,2006,English,Blind peer review,Yes,6,CC BY,TRUE,Yes
"Philosophy, Ethics, and Humanities in Medicine",BioMed Central,United Kingdom,Yes,Yes,DOI,2006,English,Blind peer review,Yes,24,CC BY,TRUE,Yes
"Substance Abuse Treatment, Prevention, and Policy",BioMed Central,United Kingdom,Yes,Yes,DOI,2006,English,Blind peer review,Yes,19,CC BY,TRUE,Yes
Implementation Science,BioMed Central,United Kingdom,Yes,Yes,DOI,2006,English,Open peer review,Yes,25,CC BY,TRUE,Yes
Computational and Mathematical Methods in Medicine,Hindawi Limited,United Kingdom,Yes,Yes,DOI,1997,English,Blind peer review,Yes,24,CC BY,TRUE,Yes
Scoliosis,BioMed Central,United Kingdom,Yes,Yes,DOI,2006,English,Open peer review,Yes,13,CC BY,TRUE,Yes
Radiation Oncology,BioMed Central,United Kingdom,Yes,Yes,DOI,2006,English,Blind peer review,Yes,13,CC BY,TRUE,Yes
Algorithms for Molecular Biology,BioMed Central,United Kingdom,Yes,Yes,DOI,2006,English,Blind peer review,Yes,25,CC BY,TRUE,Yes
Entertainment and Sports Law Journal,The University of Westminster,United Kingdom,No,NA,DOI,2002,English,Blind peer review,Yes,14,CC BY,TRUE,Yes
World Journal of Emergency Surgery,BioMed Central,United Kingdom,Yes,Yes,DOI,2006,English,Blind peer review,Yes,10,CC BY,TRUE,Yes
Journal of Orthopaedic Surgery and Research,BioMed Central,United Kingdom,Yes,Yes,DOI,2006,English,Blind peer review,Yes,31,CC BY,TRUE,Yes
Journal of Cardiothoracic Surgery,BioMed Central,United Kingdom,Yes,Yes,DOI,2006,English,Open peer review,Yes,15,CC BY,TRUE,Yes
Neural Development,BioMed Central,United Kingdom,Yes,Yes,DOI,2006,English,Blind peer review,Yes,14,CC BY,TRUE,Yes
Chinese Medicine,BioMed Central,United Kingdom,Yes,Yes,DOI,2006,English,Blind peer review,Yes,31,CC BY,TRUE,Yes
Carbon Balance and Management,Springer,United Kingdom,Yes,Yes,DOI,2006,English,Blind peer review,Yes,14,CC BY,TRUE,Yes
Orphanet Journal of Rare Diseases,BioMed Central,United Kingdom,Yes,Yes,DOI,2006,English,Blind peer review,Yes,16,CC BY,TRUE,Yes
Molecular Neurodegeneration,BioMed Central,United Kingdom,Yes,Yes,DOI,2006,English,Blind peer review,Yes,12,CC BY,TRUE,Yes
Infectious Agents and Cancer,BioMed Central,United Kingdom,Yes,Yes,DOI,2006,English,Blind peer review,Yes,17,CC BY,TRUE,Yes
Acta Veterinaria Scandinavica,BioMed Central,United Kingdom,Yes,Yes,DOI,2001,English,Blind peer review,Yes,19,CC BY,TRUE,Yes
Source Code for Biology and Medicine,BioMed Central,United Kingdom,Yes,Yes,DOI,2006,English,Double blind peer review,Yes,17,CC BY,TRUE,Yes
BioPsychoSocial Medicine,BioMed Central,United Kingdom,Yes,Yes,DOI,2007,English,Blind peer review,Yes,18,CC BY,TRUE,Yes
BMC Systems Biology,BioMed Central,United Kingdom,Yes,Yes,DOI,2007,English,Blind peer review,Yes,20,CC BY,TRUE,Yes
Conflict and Health,BioMed Central,United Kingdom,Yes,Yes,DOI,2007,English,Blind peer review,Yes,18,CC BY,TRUE,Yes
Chemistry Central Journal,Springer,United Kingdom,Yes,Yes,DOI,2007,English,Blind peer review,Yes,12,CC BY,TRUE,Yes
Journal of Medical Case Reports,BioMed Central,United Kingdom,Yes,Yes,DOI,2007,English,Open peer review,Yes,21,CC BY,TRUE,Yes
International Journal of Mental Health Systems,BioMed Central,United Kingdom,Yes,Yes,DOI,2007,English,Blind peer review,Yes,13,CC BY,TRUE,Yes
Child and Adolescent Psychiatry and Mental Health,BioMed Central,United Kingdom,Yes,Yes,DOI,2007,English,Blind peer review,Yes,16,CC BY,TRUE,Yes
BMC Proceedings,BioMed Central,United Kingdom,No,NA,DOI,2007,English,Peer review,Yes,10,CC BY,TRUE,Yes
Journal of Biological Engineering,BioMed Central,United Kingdom,Yes,Yes,DOI,2007,English,Blind peer review,Yes,17,CC BY,TRUE,Yes
Biotechnology for Biofuels,BioMed Central,United Kingdom,Yes,Yes,DOI,2008,English,Blind peer review,Yes,15,CC BY,TRUE,Yes
Patient Safety in Surgery,BioMed Central,United Kingdom,Yes,Yes,DOI,2007,English,Blind peer review,Yes,9,CC BY,TRUE,Yes
19 : Interdisciplinary Studies in the Long Nineteenth Century,Open Library of Humanities,United Kingdom,No,NA,DOI,2005,English,Blind peer review,NA,26,CC BY,TRUE,Yes
Marine Biodiversity Records,BioMed Central,United Kingdom,Yes,Yes,DOI,2016,English,Blind peer review,Yes,12,CC BY,TRUE,Yes
International Archives of Medicine,International Medical Society,United States,Yes,NA,DOI,2008,English,Double blind peer review,NA,4,CC BY,TRUE,Yes
Molecular Cytogenetics,BioMed Central,United Kingdom,Yes,Yes,DOI,2008,English,Blind peer review,Yes,8,CC BY,TRUE,Yes
BMC Medical Genomics,BioMed Central,United Kingdom,Yes,Yes,DOI,2008,English,Open peer review,Yes,22,CC BY,TRUE,Yes
BioData Mining,BioMed Central,United Kingdom,Yes,Yes,DOI,2008,English,Open peer review,Yes,23,CC BY,TRUE,Yes
BMC Research Notes,BioMed Central,United Kingdom,Yes,Yes,DOI,2008,English,Blind peer review,Yes,15,CC BY,TRUE,Yes
Parasites & Vectors,BioMed Central,United Kingdom,Yes,Yes,DOI,2008,English,Blind peer review,Yes,8,CC BY,TRUE,Yes
Molecular Brain,BioMed Central,United Kingdom,Yes,Yes,DOI,2008,English,Blind peer review,Yes,7,CC BY,TRUE,Yes
Thyroid Research,BioMed Central,United Kingdom,Yes,Yes,DOI,2008,English,Blind peer review,Yes,8,CC BY,TRUE,Yes
Journal of Hematology & Oncology,BioMed Central,United Kingdom,Yes,Yes,DOI,2008,English,Blind peer review,Yes,6,CC BY,TRUE,Yes
Epigenetics & Chromatin,BioMed Central,United Kingdom,Yes,Yes,DOI,2008,English,Blind peer review,Yes,12,CC BY,TRUE,Yes
Genome Medicine,BioMed Central,United Kingdom,Yes,Yes,DOI,2009,English,Peer review,Yes,10,CC BY,TRUE,Yes
Journal of Experimental & Clinical Cancer Research,BioMed Central,United Kingdom,Yes,Yes,DOI,2008,English,Blind peer review,Yes,8,CC BY,TRUE,Yes
Journal of Foot and Ankle Research,BioMed Central,United Kingdom,Yes,Yes,DOI,2008,English,Open peer review,Yes,18,CC BY,TRUE,Yes
Journal of Ovarian Research,BioMed Central,United Kingdom,Yes,Yes,DOI,2008,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Gut Pathogens,BioMed Central,United Kingdom,Yes,Yes,DOI,2009,English,Blind peer review,Yes,5,CC BY,TRUE,Yes
Stem Cell Research & Therapy,BioMed Central,United Kingdom,Yes,Yes,DOI,2010,English,Peer review,Yes,16,CC BY,TRUE,Yes
"Scandinavian Journal of Trauma, Resuscitation and Emergency Medicine",BioMed Central,United Kingdom,Yes,Yes,DOI,2008,English,Blind peer review,Yes,13,CC BY,TRUE,Yes
Journal of Cheminformatics,Springer,United Kingdom,Yes,Yes,DOI,2009,English,Blind peer review,Yes,14,CC BY,TRUE,Yes
Diabetology & Metabolic Syndrome,BioMed Central,United Kingdom,Yes,Yes,DOI,2009,English,Blind peer review,Yes,16,CC BY,TRUE,Yes
Alzheimer’s Research & Therapy,BioMed Central,United Kingdom,Yes,Yes,DOI,2009,English,Peer review,Yes,16,CC BY,TRUE,Yes
Journal of British and Irish Innovative Poetry,Open Library of Humanities,United Kingdom,No,NA,DOI,2015,English,Double blind peer review,NA,12,CC BY,TRUE,Yes
Studies in the Maternal,Open Library of Humanities,United Kingdom,No,NA,DOI,2009,English,Double blind peer review,NA,15,CC BY,TRUE,Yes
Mobile DNA,BioMed Central,United Kingdom,Yes,Yes,DOI,2010,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Subterranean Biology,Pensoft Publishers,France,Yes,Yes,DOI,2011,English,Peer review,NA,6,CC BY,TRUE,Yes
Journal of Biological Research - Thessaloniki,BioMed Central,United Kingdom,Yes,Yes,DOI,2004,English,Blind peer review,Yes,17,CC BY,TRUE,Yes
Research and Practice in Technology Enhanced Learning,Springer,Singapore,No,Yes,DOI,2015,English,Double blind peer review,Yes,13,CC BY,TRUE,Yes
Envigogika,Karolinum Press,Czech Republic,No,NA,DOI,2006,"Czech, English, Slovak",Double blind peer review,NA,6,CC BY,TRUE,Yes
Ocean Science (OS),Copernicus Publications,Germany,Yes,Yes,DOI,2005,English,Peer review,Yes,38,CC BY,TRUE,Yes
Climate of the Past,Copernicus Publications,Germany,Yes,Yes,DOI,2005,English,Peer review,Yes,38,CC BY,TRUE,Yes
Scientific Drilling ,Copernicus Publications,Germany,No,NA,DOI,2005,English,Peer review,Yes,27,CC BY,TRUE,Yes
Botanical Studies,Springer,United Kingdom,Yes,Yes,DOI,2006,English,Blind peer review,Yes,13,CC BY,TRUE,Yes
LEA : Lingue e Letterature d'Oriente e d'Occidente,Firenze University Press,Italy,No,NA,DOI,2012,"English, Italian",Double blind peer review,NA,20,CC BY-NC-ND,TRUE,Yes
Le Simplegadi,University of Udine,Italy,No,NA,DOI,2003,"English, Italian",Blind peer review,NA,24,CC BY,TRUE,Yes
Storia delle Donne,Firenze University Press,Italy,No,NA,DOI,2005,"English, French, Italian",Double blind peer review,NA,20,CC BY,TRUE,Yes
Emergency Care Journal,PAGEPress Publications,Italy,No,Yes,DOI,2005,"English, Italian",Blind peer review,Yes,10,CC BY-NC,TRUE,Yes
Annali di Storia di Firenze,Firenze University Press,Italy,No,NA,DOI,2006,Italian,Double blind peer review,NA,20,CC BY,TRUE,Yes
Strategies in Trauma and Limb Reconstruction,Springer,Germany,No,NA,DOI,2006,English,Blind peer review,Yes,13,CC BY,TRUE,Yes
International Journal for Educational Integrity,Springer,Australia,Yes,Yes,DOI,2005,English,Double blind peer review,Yes,22,CC BY,TRUE,Yes
Journal of Human Security,Librelloph,Switzerland,Yes,Yes,DOI,2012,English,Blind peer review,NA,8,CC BY,TRUE,Yes
Commonwealth Journal of Local Governance,UTS ePRESS,Australia,No,NA,DOI,2008,English,Double blind peer review,Yes,24,CC BY,TRUE,Yes
Gateways : International Journal of Community Research & Engagement,UTS ePRESS,Australia,No,NA,DOI,2008,English,Double blind peer review,Yes,34,CC BY,TRUE,Yes
Cosmopolitan Civil Societies: An Interdisciplinary Journal,UTS ePRESS,Australia,No,NA,DOI,2013,English,Double blind peer review,NA,9,CC BY,TRUE,Yes
Literacy and Numeracy Studies,UTS ePRESS,Australia,No,NA,DOI,2009,English,Double blind peer review,Yes,26,CC BY,TRUE,Yes
Europe's Journal of Psychology,PsychOpen,Germany,No,NA,DOI,2005,English,Double blind peer review,Yes,31,CC BY,TRUE,Yes
International Journal of Engineering Business Management ,SAGE Publishing,United Kingdom,Yes,Yes,DOI,2009,English,Double blind peer review,Yes,15,CC BY,TRUE,Yes
Nanomaterials and Nanotechnology,SAGE Publishing,United Kingdom,Yes,Yes,DOI,2011,English,Blind peer review,Yes,15,CC BY,TRUE,Yes
Papers in Physics,Papers in Physics,Argentina,Yes,NA,DOI,2009,English,Open peer review,NA,8,CC BY,TRUE,Yes
Beilstein Journal of Organic Chemistry,Beilstein-Institut ,Germany,No,NA,DOI,2005,English,Peer review,Yes,17,CC BY,TRUE,Yes
GMS Zeitschrift für Medizinische Ausbildung,German Medical Science GMS Publishing House,Germany,Yes,NA,"DOI, URN",2005,"English, German",Blind peer review,NA,25,CC BY-NC-ND,TRUE,Yes
"GMS Medizinische Informatik, Biometrie und Epidemiologie",German Medical Science GMS Publishing House,Germany,No,NA,"DOI, URN",2005,"English, German",Peer review,NA,20,CC BY,TRUE,Yes
European Review of Aging and Physical Activity,BioMed Central,Germany,Yes,Yes,DOI,2015,English,Double blind peer review,Yes,6,CC BY,TRUE,Yes
GMS Health Technology Assessment,German Medical Science GMS Publishing House,Germany,No,NA,"DOI, URN",2005,"English, German",Peer review,NA,12,CC BY,TRUE,Yes
querelles-net,Zentraleinrichtung zur Förderung von Frauen- und Geschlechterforschung,Germany,No,NA,DOI,2000,German,Editorial review,Yes,12,CC BY,TRUE,Yes
"Economics : the Open-Access, Open-Assessment e-Journal",Kiel Institute for the World Economy,Germany,No,NA,"DOI, Handles",2007,English,Open peer review,NA,30,CC BY,TRUE,Yes
Logistics Research,Springer,Germany,No,Yes,DOI,2014,English,Peer review,Yes,13,CC BY,TRUE,Yes
GMS Medizin – Bibliothek – Information,German Medical Science GMS Publishing House,Germany,No,NA,"DOI, URN",2005,"English, German",Peer review,NA,10,CC BY,TRUE,Yes
International Journal of Emergency Medicine,Springer,United Kingdom,Yes,Yes,DOI,2011,English,Blind peer review,Yes,13,CC BY,TRUE,Yes
Genes & Nutrition,BioMed Central,United Kingdom,Yes,Yes,DOI,2016,English,Blind peer review,Yes,13,CC BY,TRUE,Yes
Journal of Neurodevelopmental Disorders,BioMed Central,United Kingdom,Yes,Yes,DOI,2012,English,Blind peer review,Yes,20,CC BY,TRUE,Yes
Earth System Science Data,Copernicus Publications,Germany,No,Yes,DOI,2009,English,Peer review,Yes,35,CC BY,TRUE,Yes
Business Research,Springer,Switzerland,No,NA,DOI,2008,English,Double blind peer review,Yes,13,CC BY,TRUE,Yes
European Transport Research Review,Springer,Germany,Yes,Yes,DOI,2009,English,Double blind peer review,Yes,13,CC BY,TRUE,Yes
Atmospheric Measurement Techniques,Copernicus Publications,Germany,Yes,Yes,DOI,2008,English,Peer review,Yes,14,CC BY,TRUE,Yes
Journal of Internet Services and Applications,Springer,United Kingdom,Yes,Yes,DOI,2013,English,Blind peer review,Yes,13,CC BY,TRUE,Yes
Laboratory Phonology,Ubiquity Press,United Kingdom,Yes,Yes,DOI,2016,English,Blind peer review,Yes,8,CC BY,TRUE,Yes
Cancer Nanotechnology,Springer,United Kingdom,Yes,Yes,DOI,2010,English,Blind peer review,Yes,15,CC BY,TRUE,Yes
Clinical Epigenetics,BioMed Central,United Kingdom,Yes,Yes,DOI,2011,English,Blind peer review,Yes,12,CC BY,TRUE,Yes
Leibniz International Proceedings in Informatics,Schloss Dagstuhl -- Leibniz-Zentrum fuer Informatik,Germany,Yes,NA,"DOI, URN",2008,English,Blind peer review,NA,22,CC BY,TRUE,Yes
Insights into Imaging,Springer,Germany,Yes,Yes,DOI,2012,English,Double blind peer review,NA,13,CC BY,TRUE,Yes
SERIEs: Journal of the Spanish Economic Association,Springer,Germany,No,NA,DOI,2010,English,Blind peer review,Yes,13,CC BY,TRUE,Yes
Journal of Ophthalmic Inflammation and Infection,Springer,United Kingdom,Yes,Yes,DOI,2011,English,Blind peer review,Yes,13,CC BY,TRUE,Yes
Solid Earth,Copernicus Publications,Germany,Yes,Yes,DOI,2010,English,Peer review,Yes,28,CC BY,TRUE,Yes
Utrecht Law Review,Utrecht University Library Open Access Journals (Publishing Services),Netherlands,No,NA,DOI,2005,English,Double blind peer review,NA,17,CC BY,TRUE,Yes
Relief: Revue Électronique de Littérature Francaise,Utrecht University Library Open Access Journals (Publishing Services),Netherlands,No,NA,DOI,2007,"English, French",Double blind peer review,NA,14,CC BY,TRUE,Yes
International Journal of the Commons,Utrecht University Library Open Access Journals (Publishing Services),Netherlands,Yes,Yes,DOI,2007,English,Double blind peer review,NA,30,CC BY,TRUE,Yes
International Journal of Computational Intelligence Systems ,Atlantis Press,France,Yes,NA,DOI,2008,English,Peer review,NA,12,CC BY-NC,TRUE,Yes
Studium: Tijdschrift voor Wetenschaps- en Universiteitsgeschiedenis,Utrecht University Library Open Access Journals (Publishing Services),Netherlands,No,NA,DOI,2008,"Dutch; Flemish, English",Double blind peer review,NA,26,CC BY,TRUE,Yes
Empirical Research in Vocational Education and Training,Springer,United Kingdom,No,NA,DOI,2013,English,Double blind peer review,Yes,13,CC BY,TRUE,Yes
Religion and Gender,Utrecht University Library Open Access Journals (Publishing Services),Netherlands,No,NA,DOI,2011,English,Double blind peer review,NA,20,CC BY,TRUE,Yes
Journal of Physiological Anthropology,BioMed Central,United Kingdom,Yes,Yes,DOI,2012,English,Double blind peer review,Yes,17,CC BY,TRUE,Yes
Genes and Environment,BioMed Central,United Kingdom,No,Yes,DOI,2015,English,Peer review,Yes,27,CC BY,TRUE,Yes
Inflammation and Regeneration,BioMed Central,United Kingdom,No,Yes,DOI,2016,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
IPSJ Transactions on Computer Vision and Applications,Springer,United Kingdom,Yes,Yes,DOI,2016,English,Blind peer review,Yes,18,CC BY,TRUE,Yes
Borealis: An International Journal of Hispanic Linguistics,Septentrio Academic Publishing,Norway,No,NA,DOI,2012,"English, Spanish; Castilian",Double blind peer review,Yes,15,CC BY,TRUE,Yes
Hereditary Cancer in Clinical Practice,BioMed Central,United Kingdom,Yes,Yes,DOI,2003,English,Open peer review,Yes,18,CC BY,TRUE,Yes
Journal of Risk and Financial Management,MDPI AG,Switzerland,Yes,NA,DOI,2008,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Mathematics-in-Industry Case Studies,Springer,United Kingdom,No,NA,DOI,2016,English,Blind peer review,Yes,21,CC BY,TRUE,Yes
Journal of Otolaryngology - Head and Neck Surgery,BioMed Central,United Kingdom,Yes,Yes,DOI,2013,English,Blind peer review,Yes,6,CC BY,TRUE,Yes
Nanoscale Research Letters,Springer,United Kingdom,Yes,Yes,DOI,2006,English,Blind peer review,Yes,13,CC BY,TRUE,Yes
PLoS ONE,Public Library of Science (PLoS),United States,Yes,Yes,DOI,2006,English,Peer review,Yes,24,CC BY,TRUE,Yes
PLoS Neglected Tropical Diseases,Public Library of Science (PLoS),United States,Yes,Yes,DOI,2007,English,Peer review,Yes,23,CC BY,TRUE,Yes
Numeracy,National Numeracy Network,United States,No,NA,DOI,2008,English,Blind peer review,NA,12,CC BY-NC,TRUE,Yes
Evolution: Education and Outreach,Springer,United Kingdom,Yes,Yes,DOI,2013,English,Blind peer review,Yes,13,CC BY,TRUE,Yes
Semantics and Pragmatics,Linguistic Society of America,United States,No,NA,DOI,2008,English,Double blind peer review,NA,50,CC BY,TRUE,Yes
Security and Communication Networks,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2017,English,Blind peer review,Yes,20,CC BY,TRUE,Yes
World Allergy Organization Journal,BioMed Central,United Kingdom,Yes,Yes,DOI,2008,English,Double blind peer review,Yes,9,CC BY,TRUE,Yes
Rice,Springer,United States,Yes,Yes,DOI,2012,English,Blind peer review,Yes,13,CC BY,TRUE,Yes
Addiction Science & Clinical Practice,BioMed Central,United Kingdom,Yes,Yes,DOI,2012,English,Blind peer review,Yes,28,CC BY,TRUE,Yes
Oxidative Medicine and Cellular Longevity,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2009,English,Blind peer review,Yes,15,CC BY,TRUE,Yes
The ASIANetwork Exchange: A Journal for Asian Studies in the Liberal Arts,Open Library of Humanities,United Kingdom,No,NA,DOI,2011,English,Double blind peer review,Yes,14,CC BY,TRUE,Yes
Standards in Genomic Sciences,BioMed Central,United Kingdom,Yes,Yes,DOI,2010,English,Peer review,Yes,13,CC BY,TRUE,Yes
International Journal of Telerehabilitation,"University Library System, University of Pittsburgh",United States,No,NA,DOI,2009,English,Double blind peer review,NA,10,CC BY,TRUE,Yes
Journal of Financial Therapy,New Prairie Press,United States,No,NA,DOI,2010,English,Blind peer review,NA,29,CC BY-NC,TRUE,Yes
Advances in Oceanography and Limnology,PAGEPress Publications,Italy,No,NA,DOI,2015,English,Blind peer review,Yes,12,CC BY-NC,TRUE,Yes
Frontiers of Biogeography,International Biogeography Society,United States,Yes,Yes,ARK,2009,English,Peer review,NA,6,CC BY,TRUE,Yes
Oncology Reviews,PAGEPress Publications,Italy,Yes,Yes,DOI,2012,English,Blind peer review,Yes,10,CC BY-NC,TRUE,Yes
Journal of Formalized Reasoning,University of Bologna,Italy,No,NA,DOI,2008,English,Blind peer review,NA,25,CC BY,TRUE,Yes
Conservation Science in Cultural Heritage,University of Bologna,Italy,No,NA,DOI,2001,"English, Italian",Double blind peer review,NA,15,CC BY,TRUE,Yes
International Journal of Concrete Structures and Materials,Springer,Germany,No,NA,DOI,2012,English,Blind peer review,Yes,13,CC BY,TRUE,Yes
Applied Cancer Research,BioMed Central,United Kingdom,No,NA,DOI,2016,English,Blind peer review,Yes,18,CC BY,TRUE,Yes
Revista Ambiente & Água,Instituto de Pesquisas Ambientais em Bacias Hidrográficas (IPABHi),Brazil,Yes,NA,DOI,2012,"English, Portuguese, Spanish; Castilian",Double blind peer review,Yes,22,CC BY,TRUE,Yes
Interpersona : An International Journal on Personal Relationships,PsychOpen,Germany,No,NA,DOI,2007,"English, Portuguese",Double blind peer review,Yes,38,CC BY,TRUE,Yes
Journal of the European Optical Society-Rapid Publications,Springer,United Kingdom,Yes,Yes,DOI,2006,English,Blind peer review,Yes,5,CC BY,TRUE,Yes
Bangladesh Journal of Pharmacology,Bangladesh Pharmacological Society,Bangladesh,No,NA,DOI,2006,English,Peer review,Yes,8,CC BY,TRUE,Yes
Geoscientific Model Development,Copernicus Publications,Germany,Yes,Yes,DOI,2008,English,Peer review,Yes,14,CC BY,TRUE,Yes
Advances in Science and Research,Copernicus Publications,Germany,Yes,Yes,DOI,2007,English,Peer review,Yes,22,CC BY,TRUE,Yes
Comparative Cytogenetics,Pensoft Publishers,Bulgaria,Yes,NA,DOI,2009,English,Peer review,NA,6,CC BY,TRUE,Yes
The Cryosphere,Copernicus Publications,Germany,Yes,Yes,DOI,2007,English,Peer review,Yes,37,CC BY,TRUE,Yes
Journal of Eye Movement Research,Bern Open Publishing,Switzerland,Yes,Yes,DOI,2007,English,Blind peer review,NA,10,CC BY,TRUE,Yes
Energies,MDPI AG,Switzerland,Yes,NA,DOI,2008,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Jàmbá : Journal of Disaster Risk Studies,AOSIS,South Africa,No,NA,DOI,2006,English,Double blind peer review,Yes,37,CC BY,TRUE,Yes
